localarea,Architectural and Engineering Services,Association or Society,Beauty Services,Building Repair and Maintenance,Business Support Services,Consulting and Management Services,Design Services,Financial Services,General Contractor,Health Care Facility,Health Care Professionals and Services,Information Communication Technology,Legal Services,Limited Service Food Establishment,Long-term Rental,Other,Parking Area / Garage,Real Estate Services,Restaurant,Retail Dealer,Retail Dealer - Food,Short-term Rental Operator,Trade Contractor,Wholesale Dealer - Non-Food
Arbutus-Ridge,0.975609756097561,0.31042128603104213,2.7937915742793793,0.3547671840354767,2.0399113082039912,4.0798226164079825,0.975609756097561,1.1086474501108647,4.745011086474501,1.3747228381374723,9.933481152993348,0.5764966740576497,1.06430155210643,1.9955654101995564,29.977827050997785,11.130820399113082,0.22172949002217296,2.7937915742793793,2.616407982261641,5.498891352549889,1.3747228381374723,11.175166297117517,1.862527716186253,1.0199556541019956
Downtown,1.3325549520280218,1.4112391491953906,3.530636072897101,0.33250418802984927,5.147469414691101,5.066247017615107,0.5660185796233311,3.9824356566323162,2.2818417178536983,0.5888623788009544,7.865881516828265,3.792070663485456,11.320371592466623,2.7844052997614095,16.023656023148384,13.853495101274177,1.1168079597949134,2.898624295649525,3.5585562718919745,4.3250926442966655,0.9492867658256764,6.175440377684146,0.39595918574546934,0.7005431747804457
Dunbar-Southlands,0.3873239436619718,0.528169014084507,1.3380281690140845,0.7042253521126761,2.112676056338028,3.97887323943662,1.056338028169014,0.8802816901408451,8.626760563380282,0.10563380281690139,7.253521126760563,1.3028169014084507,0.42253521126760557,1.936619718309859,32.7112676056338,11.76056338028169,0.10563380281690139,1.0915492957746478,1.0211267605633803,3.9084507042253525,1.1267605633802817,15.598591549295774,1.3028169014084507,0.7394366197183099
Fairview,1.7357394096956722,1.169903654993118,2.8444716317479735,0.25997858999847073,3.310903807921701,3.6855788346842027,1.1316715094051077,2.7450680532191467,3.303257378804098,1.7051536932252638,25.967273283376663,1.154610796757914,2.0568894326349594,2.3015751643982263,15.292858235204159,14.145893867563847,1.9192537085181218,3.1273895090992507,2.607432329102309,6.468879033491359,0.8946322067594433,0.7493500535250038,0.5123107508793394,0.9099250649946475
Grandview-Woodland,0.5322874352150162,1.7509455105757108,2.24121025353691,0.7844235887379185,0.8964841014147639,1.9470514077601906,0.8544614091609469,0.30816640986132515,3.683989354251296,0.44824205070738193,6.093290376803473,0.5883176915534388,0.2101134612690853,3.4178456366437877,28.77153662978008,26.37624317131251,0.18209833309987392,0.47625717887659336,4.160246533127889,3.978148200028015,2.4093010225521785,6.569547555680068,1.2046505112760892,2.115142176775459
Hastings-Sunrise,0.6498194945848376,1.227436823104693,2.6714801444043323,0.92057761732852,0.9386281588447654,2.111913357400722,0.6137184115523465,0.740072202166065,9.223826714801445,0.740072202166065,7.310469314079422,0.45126353790613716,0.30685920577617326,2.743682310469314,31.389891696750905,12.599277978339348,0.3971119133574007,0.6137184115523465,2.148014440433213,4.584837545126354,1.9133574007220218,10.722021660649819,2.6353790613718413,2.3465703971119134
Kensington-Cedar Cottage,0.402345097137602,1.4829290723071618,3.6555925968502128,1.3449821818599839,0.6437521554201633,1.8967697436486952,0.919645936314519,0.8391769168869985,6.173123347511209,1.0920795493734914,11.28865386826072,0.5517875617887114,0.4368318197493965,2.839406828371077,33.39464306242097,12.05885733992413,0.2643982066904242,0.2758937808943557,2.839406828371077,4.391309345901828,1.8622830210369008,9.070008046901942,1.8737785952408321,0.402345097137602
Kerrisdale,0.5861136158701533,1.127141568981064,4.102795311091073,0.49594229035166815,2.4346257889990985,4.05770964833183,1.3976555455365194,1.2173128944995493,5.861136158701533,0.6311992786293958,9.738503155996394,0.4508566275924256,1.3525698827772767,1.6230838593327321,28.71956717763751,12.714156898106403,1.127141568981064,3.065825067628494,3.5166816952209197,5.725879170423806,1.3525698827772767,7.21370604147881,0.9467989179440938,0.5410279531109108
Killarney,0.5349381477766633,0.5015045135406219,1.0698762955533265,2.1731862253426946,1.0030090270812437,3.009027081243731,0.5683717820127048,0.8692744901370779,13.206285523236375,0.4680708793045804,11.300568371782013,0.802407221664995,0.10030090270812438,2.440655299231026,29.38816449348044,13.373453694416584,0.13373453694416582,0.4680708793045804,2.8752925442995654,3.376797057840187,1.4042126379137412,7.021063189568706,3.4102306920762286,0.5015045135406219
Kitsilano,0.6318259770737431,0.7040346601678852,3.727773264735084,0.3339651593104071,1.0199476487047567,3.3938081054246774,0.8484520263561693,0.9928693925444534,3.3757559346511417,0.7672172578752595,11.372867587327375,0.487408610885459,0.37909558624424583,3.0237386045671992,35.535698167704666,12.753858651502844,0.7762433432620273,0.785269428648795,3.7909558624424586,6.08358155068147,1.1011824171856666,6.950085747811174,0.6950085747811174,0.4693564401119235
Marpole,0.9473684210526316,1.0526315789473684,1.5964912280701755,1.0701754385964912,1.789473684210526,2.982456140350877,0.43859649122807015,2.1228070175438596,6.842105263157896,0.4736842105263158,7.017543859649122,1.263157894736842,0.8771929824561403,1.8596491228070178,30.842105263157894,19.894736842105264,0.3508771929824561,1.719298245614035,1.631578947368421,3.578947368421052,1.1754385964912282,5.0701754385964914,1.6140350877192984,3.7894736842105265
Mount Pleasant,1.209869486519958,1.5242450223873487,3.010383919215014,0.6573306659045441,2.0958369057826047,3.239020672573116,0.8859674192626464,0.9145470134324093,3.6010288653901115,0.5620653520053348,8.345241497570735,1.7528817757454511,0.6573306659045441,2.276841002191102,30.01810040964085,19.919977136324665,0.9145470134324093,0.952653138992093,3.6391349909497954,4.7727922263503855,1.1431837667905116,4.572735067162046,0.9145470134324093,2.419738973039916
Oakridge,0.4595060310166571,1.321079839172889,1.665709362435382,0.9190120620333142,1.4933946008041357,2.469844916714532,0.402067777139575,1.321079839172889,9.592188397472718,0.6318207926479035,10.626076967260195,0.4595060310166571,0.5169442848937392,2.757036186099943,36.24353819643883,8.500861573808157,0.5743825387708213,1.2062033314187248,1.263641585295807,5.11200459506031,0.7466973004020678,9.362435381964389,2.067777139574957,0.2871912693854107
Renfrew-Collingwood,0.8955223880597015,1.4214641080312722,2.260127931769723,1.7057569296375266,1.8479033404406537,2.288557213930348,0.255863539445629,1.4214641080312722,8.30135039090263,0.8813077469793886,9.495380241648899,0.9808102345415779,0.7107320540156361,2.3312011371712864,31.44278606965174,12.57995735607676,0.22743425728500355,0.8813077469793886,2.4875621890547266,3.8521677327647477,1.62046908315565,7.945984363894812,2.999289267945984,1.1656005685856432
Riley Park,0.8908685968819599,0.6124721603563474,2.988121752041574,0.48255382331106156,0.5753526354862658,1.9487750556792873,1.1692650334075725,1.3919821826280625,3.9903489235337783,0.8351893095768375,13.158871566443949,0.48255382331106156,0.3897550111358575,2.654046028210839,31.922791388270227,11.210096510764663,0.25983667409057165,0.9465478841870825,4.380103934669636,6.514476614699332,1.1692650334075725,10.50482553823311,1.1135857461024499,0.4083147735708983
Shaughnessy,0.17889087656529518,1.3416815742397137,1.073345259391771,0.35778175313059035,1.073345259391771,2.5044722719141324,0.9838998211091234,2.5044722719141324,9.481216457960643,0.8944543828264758,6.261180679785331,0.9838998211091234,1.1627906976744187,0.8944543828264758,35.86762075134168,10.37567084078712,0.17889087656529518,3.2200357781753133,2.415026833631485,2.146690518783542,1.073345259391771,13.237924865831843,0.4472271914132379,1.3416815742397137
South Cambie,0.28153153153153154,0.9009009009009009,1.3513513513513513,0.5630630630630631,0.6756756756756757,3.9414414414414414,0.6193693693693694,0.6756756756756757,5.011261261261262,1.0698198198198199,8.558558558558559,0.7882882882882882,0.45045045045045046,2.815315315315315,46.3963963963964,11.092342342342343,0.7319819819819819,1.0135135135135136,2.6463963963963963,2.3085585585585586,0.5630630630630631,6.024774774774775,1.4076576576576576,0.11261261261261261
Strathcona,0.9496124031007752,4.748062015503876,1.4341085271317828,0.44573643410852715,1.9186046511627908,1.4922480620155039,1.0465116279069768,0.23255813953488372,2.2093023255813953,0.5038759689922481,2.7131782945736433,1.1627906976744187,0.1744186046511628,1.8604651162790697,15.038759689922482,36.84108527131783,0.7945736434108527,0.4069767441860465,3.430232558139535,5.523255813953488,4.263565891472868,6.627906976744185,1.4534883720930232,4.728682170542635
Sunset,0.14701078079059132,0.3103560927801372,1.7804639006860503,2.8422084286180986,0.8657301535445934,1.0944135903299574,0.3756942175759556,0.914733747141457,11.891538712838942,0.7840574975498202,6.729826853969291,0.7187193727540019,0.4083632799738647,2.548186867036916,28.667102254165304,17.265599477295,0.7677229663508658,0.4900359359686377,1.9274746814766417,4.279647174126103,1.829467494282914,6.060111074812153,3.952956550147011,3.348578895785691
