business_name,text_original,rating,rating_category,rating_group,review_word_count,final_cluster,theme,theme_confidence,restaurant_type
Haci'nin Yeri - Yigit Lokantasi,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,5,taste,POSITIVE (4-5),130,2,Overall Dining Experience & Menu Variety,Medium,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,4,menu,POSITIVE (4-5),179,3,Price & Value,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,3,outdoor_atmosphere,MIXED (3),31,3,Price & Value,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,Turkey's cheapest artisan restaurant and its food is delicious!,5,indoor_atmosphere,POSITIVE (4-5),9,1,Regional / Specialty Food Experience,Medium,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,3,menu,MIXED (3),31,3,Price & Value,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,Generally good.,4,indoor_atmosphere,POSITIVE (4-5),2,10,Short Positive Praise / Recommendation,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,5,taste,POSITIVE (4-5),47,3,Price & Value,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,Delicious food at rock bottom prices. Friendly staff; Highly recommend,5,taste,POSITIVE (4-5),10,3,Price & Value,High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.",5,outdoor_atmosphere,POSITIVE (4-5),31,7,"Cleanliness, Ambience & Environment",High,Local Restaurant
Haci'nin Yeri - Yigit Lokantasi,The most f/p of all businesses I've seen.,5,indoor_atmosphere,POSITIVE (4-5),8,6,Staff & Service Quality,High,Local Restaurant
