localarea,business_count,latitude,longitude
Arbutus-Ridge,2255,49.2406491045592,-123.15924313186474
Downtown,39398,49.282900858705766,-123.1174941370772
Dunbar-Southlands,2840,49.244133849642346,-123.18396053282676
Fairview,13078,49.26424898760395,-123.13052373517193
Grandview-Woodland,7139,49.27583442422279,-123.06898233030276
Hastings-Sunrise,5540,49.27544244345452,-123.04069477045229
Kensington-Cedar Cottage,8699,49.24845383272371,-123.072926905416
Kerrisdale,2218,49.232009045073845,-123.15582412356049
Killarney,2991,49.219468575456794,-123.03505730522714
Kitsilano,11079,49.266362495743685,-123.16065869220331
Marpole,5700,49.207617434366924,-123.12933836196872
Mount Pleasant,10497,49.26370391874713,-123.10233744265905
Oakridge,1741,49.22939727420052,-123.12004196921053
Renfrew-Collingwood,7035,49.243681494933895,-123.03805510396118
Riley Park,5388,49.24912995840668,-123.10133479848528
Shaughnessy,1118,49.24515526074946,-123.13907971595347
South Cambie,1776,49.24849196113383,-123.12163585339918
Strathcona,5160,49.2775198299437,-123.09053325035966
Sunset,6122,49.21841763408061,-123.09383588874589
Victoria-Fraserview,3416,49.223446773436855,-123.06549185782715
West End,8861,49.28581920749904,-123.1311023977274
West Point Grey,2049,49.26511535935218,-123.19889937688062
